verb,global quantity,quantity unit,thing,time unit,source,note,relative probability,per capita,per lifetime,per year,per month,per week,per day,per hour,per minute,per second
consumes,1.56E+11,pounds,grapes,per year,[The 2019 Statistical Report on Vitiviniculture](http://oiv.int/public/medias/6782/oiv-2019-statistical-report-on-world-vitiviniculture.pdf),Assumes no wastage or net storage,1,,"1,442",20,1.7,0.38,0.054,0.0023,0.000038,0.00000063
drinks,8.87E+10,pounds,wine grapes,per year,[The 2019 Statistical Report on Vitiviniculture](http://oiv.int/public/medias/6782/oiv-2019-statistical-report-on-world-vitiviniculture.pdf),Assumes no wastage or net storage,1,,822,11,0.94,0.22,0.031,0.0013,0.000022,0.00000036
eats,5.60E+10,pounds,table grapes,per year,[The 2019 Statistical Report on Vitiviniculture](http://oiv.int/public/medias/6782/oiv-2019-statistical-report-on-world-vitiviniculture.pdf),Assumes no wastage or net storage,1,,519,7.1,0.60,0.14,0.020,0.00082,0.000014,0.00000023
eats,1.09E+10,pounds,dried grapes,per year,[The 2019 Statistical Report on Vitiviniculture](http://oiv.int/public/medias/6782/oiv-2019-statistical-report-on-world-vitiviniculture.pdf),Assumes no wastage or net storage,1,,101,1.4,0.12,0.027,0.0038,0.00016,0.0000026,0.000000044
owns,7.40E+10,square meters,vineyards,per year,[The 2019 Statistical Report on Vitiviniculture](http://oiv.int/public/medias/6782/oiv-2019-statistical-report-on-world-vitiviniculture.pdf),Assumes no wastage or net storage,1,,686,9.4,0.79,0.18,0.026,0.0011,0.000018,0.00000030
produces,8.78E+13,dollar's worth,stuff,per year,[The World Bank](https://data.worldbank.org/indicator/NY.GDP.MKTP.CD),2019.,1,,"813,461","11,205",934,215,31,1.3,0.021,0.00036
produces,1.36E+14,international dollar's worth,stuff,per year,[The World Bank](https://data.worldbank.org/indicator/NY.GDP.MKTP.PP.CD),"2019. International dollars are US dollars adjusted for purchasing power parity (i.e., reflecting that a US dollar buys you more in Cambodia than the US).",1,,"1,256,788","17,311","1,443",332,47,2.0,0.033,0.00055
lives for,5.69E+11,,years,,[United Nations](https://ourworldindata.org/grapher/life-expectancy?tab=chart&time=1770..2019&country=~OWID_WRL&region=World),Life expectancy at birth in 2019.,1,73,,,,,,,,
owns,1.87E+11,grams,gold,,[USGS](https://www.usgs.gov/faqs/how-much-gold-has-been-found-world?qt-news_science_products=0#qt-news_science_products),,1,24,,,,,,,,
owns,9.69E+09,milliliters,gold,,[USGS](https://www.usgs.gov/faqs/how-much-gold-has-been-found-world?qt-news_science_products=0#qt-news_science_products),,1,1.2,,,,,,,,
has,5.10E+14,square meters,Earth's surface,,[United Nations Food and Agriculture Organization](https://ourworldindata.org/land-use),,1,"65,084",,,,,,,,
has,3.61E+14,square meters,ocean,,[United Nations Food and Agriculture Organization](https://ourworldindata.org/land-use),,1,"46,069",,,,,,,,
has,1.49E+14,square meters,land,,[United Nations Food and Agriculture Organization](https://ourworldindata.org/land-use),,1,"19,015",,,,,,,,
has,1.04E+14,square meters,habitable land,,[United Nations Food and Agriculture Organization](https://ourworldindata.org/land-use),,1,"13,272",,,,,,,,
has,4.30E+13,square meters,uninhabitable land,,[United Nations Food and Agriculture Organization](https://ourworldindata.org/land-use),,,"5,487",,,,,,,,
has,2.80E+13,square meters,barren land,,[United Nations Food and Agriculture Organization](https://ourworldindata.org/land-use),"Excludes glaciers, but includes deserts, salt flats, rocks, beaches, and dunes.",1,"3,573",,,,,,,,
has,1.50E+13,square meters,glaciers,,[United Nations Food and Agriculture Organization](https://ourworldindata.org/land-use),,1,"1,914",,,,,,,,
has,5.10E+13,square meters,agricultural land,,[United Nations Food and Agriculture Organization](https://ourworldindata.org/land-use),,1,"6,508",,,,,,,,
has,3.90E+13,square meters,forested land,,[United Nations Food and Agriculture Organization](https://ourworldindata.org/land-use),,1,"4,977",,,,,,,,
has,1.20E+13,square meters,shrub land,,[United Nations Food and Agriculture Organization](https://ourworldindata.org/land-use),,1,"1,531",,,,,,,,
has,1.50E+12,square meters,urban and built-up land,,[United Nations Food and Agriculture Organization](https://ourworldindata.org/land-use),,1,191,,,,,,,,
has,1.50E+12,square meters,freshwater,,[United Nations Food and Agriculture Organization](https://ourworldindata.org/land-use),,1,191,,,,,,,,
has,4.00E+13,square meters,livestock land,,[United Nations Food and Agriculture Organization](https://ourworldindata.org/land-use),Includes cropland used to feed livestock.,1,"5,105",,,,,,,,
has,1.10E+13,square meters,cropland,,[United Nations Food and Agriculture Organization](https://ourworldindata.org/land-use),Excludes cropland used to feed livestock.,1,"1,404",,,,,,,,
farms,7.24E+12,square meters,"cereals, total cropland",,[United Nations Food and Agriculture Organization (2019)](http://www.fao.org/faostat/en/#data/QC),,1,924,,,,,,,,
farms,3.25E+12,square meters,"oilcrops, oil equivalent cropland",,[United Nations Food and Agriculture Organization (2019)](http://www.fao.org/faostat/en/#data/QC),,1,415,,,,,,,,
farms,3.24E+12,square meters,oilcrops cropland,,[United Nations Food and Agriculture Organization (2019)](http://www.fao.org/faostat/en/#data/QC),,1,414,,,,,,,,
farms,3.12E+12,square meters,"oilcrops, cake equivalent cropland",,[United Nations Food and Agriculture Organization (2019)](http://www.fao.org/faostat/en/#data/QC),,1,398,,,,,,,,
farms,2.16E+12,square meters,wheat cropland,,[United Nations Food and Agriculture Organization (2019)](http://www.fao.org/faostat/en/#data/QC),,1,276,,,,,,,,
farms,1.97E+12,square meters,maize cropland,,[United Nations Food and Agriculture Organization (2019)](http://www.fao.org/faostat/en/#data/QC),,1,252,,,,,,,,
farms,1.62E+12,square meters,"rice, paddy cropland",,[United Nations Food and Agriculture Organization (2019)](http://www.fao.org/faostat/en/#data/QC),,1,207,,,,,,,,
farms,1.21E+12,square meters,soybeans cropland,,[United Nations Food and Agriculture Organization (2019)](http://www.fao.org/faostat/en/#data/QC),,1,154,,,,,,,,
farms,8.91E+11,square meters,"pulses, total cropland",,[United Nations Food and Agriculture Organization (2019)](http://www.fao.org/faostat/en/#data/QC),,1,114,,,,,,,,
farms,6.53E+11,square meters,fruit primary cropland,,[United Nations Food and Agriculture Organization (2019)](http://www.fao.org/faostat/en/#data/QC),,1,83,,,,,,,,
farms,6.43E+11,square meters,"roots and tubers, total cropland",,[United Nations Food and Agriculture Organization (2019)](http://www.fao.org/faostat/en/#data/QC),,1,82,,,,,,,,
farms,5.97E+11,square meters,vegetables primary cropland,,[United Nations Food and Agriculture Organization (2019)](http://www.fao.org/faostat/en/#data/QC),,1,76,,,,,,,,
farms,5.11E+11,square meters,barley cropland,,[United Nations Food and Agriculture Organization (2019)](http://www.fao.org/faostat/en/#data/QC),,1,65,,,,,,,,
farms,4.17E+11,square meters,fibre crops primary cropland,,[United Nations Food and Agriculture Organization (2019)](http://www.fao.org/faostat/en/#data/QC),,1,53,,,,,,,,
farms,4.01E+11,square meters,sorghum cropland,,[United Nations Food and Agriculture Organization (2019)](http://www.fao.org/faostat/en/#data/QC),,1,51,,,,,,,,
farms,3.86E+11,square meters,seed cotton cropland,,[United Nations Food and Agriculture Organization (2019)](http://www.fao.org/faostat/en/#data/QC),,1,49,,,,,,,,
farms,3.40E+11,square meters,rapeseed cropland,,[United Nations Food and Agriculture Organization (2019)](http://www.fao.org/faostat/en/#data/QC),,1,43,,,,,,,,
farms,3.31E+11,square meters,"beans, dry cropland",,[United Nations Food and Agriculture Organization (2019)](http://www.fao.org/faostat/en/#data/QC),,1,42,,,,,,,,
farms,3.17E+11,square meters,millet cropland,,[United Nations Food and Agriculture Organization (2019)](http://www.fao.org/faostat/en/#data/QC),,1,40,,,,,,,,
farms,3.15E+11,square meters,sugar crops primary cropland,,[United Nations Food and Agriculture Organization (2019)](http://www.fao.org/faostat/en/#data/QC),,1,40,,,,,,,,
farms,2.96E+11,square meters,"groundnuts, with shell cropland",,[United Nations Food and Agriculture Organization (2019)](http://www.fao.org/faostat/en/#data/QC),,1,38,,,,,,,,
farms,2.83E+11,square meters,oil palm fruit cropland,,[United Nations Food and Agriculture Organization (2019)](http://www.fao.org/faostat/en/#data/QC),,1,36,,,,,,,,
farms,2.75E+11,square meters,cassava cropland,,[United Nations Food and Agriculture Organization (2019)](http://www.fao.org/faostat/en/#data/QC),,1,35,,,,,,,,
farms,2.74E+11,square meters,sunflower seed cropland,,[United Nations Food and Agriculture Organization (2019)](http://www.fao.org/faostat/en/#data/QC),,1,35,,,,,,,,
farms,2.68E+11,square meters,sugar cane cropland,,[United Nations Food and Agriculture Organization (2019)](http://www.fao.org/faostat/en/#data/QC),,1,34,,,,,,,,
farms,2.19E+11,square meters,"vegetables, fresh nes cropland",,[United Nations Food and Agriculture Organization (2019)](http://www.fao.org/faostat/en/#data/QC),,1,28,,,,,,,,
farms,1.73E+11,square meters,potatoes cropland,,[United Nations Food and Agriculture Organization (2019)](http://www.fao.org/faostat/en/#data/QC),,1,22,,,,,,,,
farms,1.44E+11,square meters,"cow peas, dry cropland",,[United Nations Food and Agriculture Organization (2019)](http://www.fao.org/faostat/en/#data/QC),,1,18,,,,,,,,
farms,1.40E+11,square meters,"treenuts, total cropland",,[United Nations Food and Agriculture Organization (2019)](http://www.fao.org/faostat/en/#data/QC),,1,18,,,,,,,,
farms,1.37E+11,square meters,chick peas cropland,,[United Nations Food and Agriculture Organization (2019)](http://www.fao.org/faostat/en/#data/QC),,1,18,,,,,,,,
farms,1.28E+11,square meters,sesame seed cropland,,[United Nations Food and Agriculture Organization (2019)](http://www.fao.org/faostat/en/#data/QC),,1,16,,,,,,,,
farms,1.23E+11,square meters,"rubber, natural cropland",,[United Nations Food and Agriculture Organization (2019)](http://www.fao.org/faostat/en/#data/QC),,1,16,,,,,,,,
farms,1.22E+11,square meters,"cocoa, beans cropland",,[United Nations Food and Agriculture Organization (2019)](http://www.fao.org/faostat/en/#data/QC),,1,16,,,,,,,,
farms,1.18E+11,square meters,coconuts cropland,,[United Nations Food and Agriculture Organization (2019)](http://www.fao.org/faostat/en/#data/QC),,1,15,,,,,,,,
farms,1.11E+11,square meters,"coffee, green cropland",,[United Nations Food and Agriculture Organization (2019)](http://www.fao.org/faostat/en/#data/QC),,1,14,,,,,,,,
farms,1.06E+11,square meters,olives cropland,,[United Nations Food and Agriculture Organization (2019)](http://www.fao.org/faostat/en/#data/QC),,1,13,,,,,,,,
farms,9.90E+10,square meters,"citrus fruit, total cropland",,[United Nations Food and Agriculture Organization (2019)](http://www.fao.org/faostat/en/#data/QC),,1,13,,,,,,,,
farms,9.42E+10,square meters,oats cropland,,[United Nations Food and Agriculture Organization (2019)](http://www.fao.org/faostat/en/#data/QC),,1,12,,,,,,,,
farms,8.91E+10,square meters,yams cropland,,[United Nations Food and Agriculture Organization (2019)](http://www.fao.org/faostat/en/#data/QC),,1,11,,,,,,,,
farms,7.77E+10,square meters,sweet potatoes cropland,,[United Nations Food and Agriculture Organization (2019)](http://www.fao.org/faostat/en/#data/QC),,1,9.9,,,,,,,,
farms,7.17E+10,square meters,"peas, dry cropland",,[United Nations Food and Agriculture Organization (2019)](http://www.fao.org/faostat/en/#data/QC),,1,9.1,,,,,,,,
farms,7.09E+10,square meters,"cashew nuts, with shell cropland",,[United Nations Food and Agriculture Organization (2019)](http://www.fao.org/faostat/en/#data/QC),,1,9.0,,,,,,,,
farms,6.93E+10,square meters,grapes cropland,,[United Nations Food and Agriculture Organization (2019)](http://www.fao.org/faostat/en/#data/QC),,1,8.8,,,,,,,,
farms,6.00E+10,square meters,pulses nes cropland,,[United Nations Food and Agriculture Organization (2019)](http://www.fao.org/faostat/en/#data/QC),,1,7.7,,,,,,,,
farms,5.84E+10,square meters,"fruit, fresh nes cropland",,[United Nations Food and Agriculture Organization (2019)](http://www.fao.org/faostat/en/#data/QC),,1,7.5,,,,,,,,
farms,5.71E+10,square meters,plantains and others cropland,,[United Nations Food and Agriculture Organization (2019)](http://www.fao.org/faostat/en/#data/QC),,1,7.3,,,,,,,,
farms,5.62E+10,square meters,pigeon peas cropland,,[United Nations Food and Agriculture Organization (2019)](http://www.fao.org/faostat/en/#data/QC),,1,7.2,,,,,,,,
farms,5.59E+10,square meters,"mangoes, mangosteens, guavas cropland",,[United Nations Food and Agriculture Organization (2019)](http://www.fao.org/faostat/en/#data/QC),,1,7.1,,,,,,,,
farms,5.19E+10,square meters,"onions, dry cropland",,[United Nations Food and Agriculture Organization (2019)](http://www.fao.org/faostat/en/#data/QC),,1,6.6,,,,,,,,
farms,5.16E+10,square meters,bananas cropland,,[United Nations Food and Agriculture Organization (2019)](http://www.fao.org/faostat/en/#data/QC),,1,6.6,,,,,,,,
farms,5.08E+10,square meters,tea cropland,,[United Nations Food and Agriculture Organization (2019)](http://www.fao.org/faostat/en/#data/QC),,1,6.5,,,,,,,,
farms,5.03E+10,square meters,tomatoes cropland,,[United Nations Food and Agriculture Organization (2019)](http://www.fao.org/faostat/en/#data/QC),,1,6.4,,,,,,,,
farms,4.80E+10,square meters,lentils cropland,,[United Nations Food and Agriculture Organization (2019)](http://www.fao.org/faostat/en/#data/QC),,1,6.1,,,,,,,,
farms,4.72E+10,square meters,apples cropland,,[United Nations Food and Agriculture Organization (2019)](http://www.fao.org/faostat/en/#data/QC),,1,6.0,,,,,,,,
farms,4.61E+10,square meters,sugar beet cropland,,[United Nations Food and Agriculture Organization (2019)](http://www.fao.org/faostat/en/#data/QC),,1,5.9,,,,,,,,
